                                                                        link                                                                        | area_bruta_m2 | preco_atual 
----------------------------------------------------------------------------------------------------------------------------------------------------+---------------+-------------
 https://remax.pt/pt/imoveis/venda-terreno-t0-figueiro-dos-vinhos-figueiro-dos-vinhos-e-bairradas/123751693-12                                      |             0 |     6000000
 https://remax.pt/pt/imoveis/venda-terreno-tbenavente-santo-estevao/120531421-23                                                                    |             0 |     2490000
 https://remax.pt/pt/imoveis/venda-terreno-tlisboa-campolide/120531459-17                                                                           |             0 |     2490000
 https://remax.pt/pt/imoveis/venda-terreno-tvila-verde-ribeira-do-neiva/123001152-58                                                                |             0 |     1250000
 https://remax.pt/pt/imoveis/venda-terreno-tcascais-sao-domingos-de-rana/120451428-9                                                                |             0 |      890000
 https://remax.pt/pt/imoveis/venda-terreno-tolhao-moncarapacho-e-fuseta/124681329-25                                                                |             0 |      800000
 https://remax.pt/pt/imoveis/venda-terreno-tlagoa-sao-miguel-nossa-senhora-do-rosario/123541119-130                                                 |             0 |      560000
 https://remax.pt/pt/imoveis/venda-terreno-tvila-verde-ribeira-do-neiva/123001152-57                                                                |             0 |      550000
 https://remax.pt/pt/imoveis/venda-terreno-tbatalha-sao-mamede/120251433-1                                                                          |             0 |      500000
 https://remax.pt/pt/imoveis/venda-terreno-tvila-verde-ribeira-do-neiva/123001152-59                                                                |             0 |      450000
 https://remax.pt/pt/imoveis/venda-terreno-tbatalha-batalha/123531189-108                                                                           |             0 |      420000
 https://remax.pt/pt/imoveis/venda-terreno-tvila-nova-de-gaia-arcozelo/124321187-91                                                                 |             0 |      325000
 https://remax.pt/pt/imoveis/venda-terreno-ttrofa-alvarelhos-e-guidoes/124831109-3                                                                  |             0 |      320000
 https://remax.pt/pt/imoveis/venda-terreno-tmafra-encarnacao/125871162-2                                                                            |             0 |      276000
 https://remax.pt/pt/imoveis/venda-terreno-tpalmela-poceirao-e-marateca/124291075-37                                                                |             0 |      225000
 https://remax.pt/pt/imoveis/venda-terreno-tmafra-encarnacao/125871162-3                                                                            |             0 |      194000
 https://remax.pt/pt/imoveis/venda-terreno-tferreira-do-zezere-igreja-nova-do-sobral/125281070-5                                                    |             0 |      185000
