    url_id     |                                                                        link                                                                        |        last_crawled        | data_publicacao | preco_atual |             freguesia              |   tipologia    | area_bruta_m2 | area_util_m2 | area_terreno_m2 | ano_construcao | num_quartos | num_wc | estacionamento | elevador | certificado_energetico |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       descricao_bruta                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
---------------+----------------------------------------------------------------------------------------------------------------------------------------------------+----------------------------+-----------------+-------------+------------------------------------+----------------+---------------+--------------+-----------------+----------------+-------------+--------+----------------+----------+------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 126191014-51  | https://remax.pt/pt/imoveis/venda-terreno-tlamego-bigorne-magueija-e-pretarouca/126191014-51                                                       | 2025-11-20 11:43:52.90866  | 2025-11-20      |       25000 | Bigorne                            | Desconhecida   |             0 |            0 |            4374 |              0 |           0 |      0 | Não            | Não      |                        | Terreno rústico com 4374 m² , situado em Magueija, numa zona tranquila e rodeada pela paisagem típica da região, oferecendo um ambiente calmo e sereno.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     +
               |                                                                                                                                                    |                            |                 |             |                                    |                |               |              |                 |                |             |        |                |          |                        |  Ideal para cultivo, lazer ao ar livre ou projetos de natureza, o terreno beneficia de boa exposição solar e fácil acesso. Uma excelente opção para quem valoriza o contacto com a natureza, a paz do campo e a proximidade de Lamego.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      +
               |                                                                                                                                                    |                            |                 |             |                                    |                |               |              |                 |                |             |        |                |          |                        |  Principais características:                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                +
               |                                                                                                                                                    |                            |                 |             |                                    |                |               |              |                 |                |             |        |                |          |                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             +
               |                                                                                                                                                    |                            |                 |             |                                    |                |               |              |                 |                |             |        |                |          |                        |  Área: 4374 m².                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             +
               |                                                                                                                                                    |                            |                 |             |                                    |                |               |              |                 |                |             |        |                |          |                        |  Terreno rústico, com possibilidades agrícolas.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             +
               |                                                                                                                                                    |                            |                 |             |                                    |                |               |              |                 |                |             |        |                |          |                        |  Boa exposição solar.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       +
               |                                                                                                                                                    |                            |                 |             |                                    |                |               |              |                 |                |             |        |                |          |                        |  Localização tranquila e de fácil acesso.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   +
               |                                                                                                                                                    |                            |                 |             |                                    |                |               |              |                 |                |             |        |                |          |                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             +
               |                                                                                                                                                    |                            |                 |             |                                    |                |               |              |                 |                |             |        |                |          |                        |  Não perca mais tempo e marque já a sua visita.
 124881063-239 | https://remax.pt/pt/imoveis/venda-moradia-t4-vila-nova-de-gaia-arcozelo/124881063-239                                                              | 2025-11-20 11:43:56.527973 | 2025-11-20      |     1500000 | Arcozelo                           | Moradia T4     |           428 |          385 |          485428 |           2025 |           4 |      5 | 2 Lugares      | Não      |                        | Moradia T4 Independente para venda em Arcozelo                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              +
               |                                                                                                                                                    |                            |                 |             |                                    |                |               |              |                 |                |             |        |                |          |                        |    Viva o privilégio de morar entre o mar e a tranquilidade do campo. Com conclusão prevista para o início de 2026, esta  exclusiva moradia de luxo em Miramar  destaca-se pelo Design contemporâneo, conforto superior e uma localização verdadeiramente única.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            +
